Location,Number of Records,Power output (MW),Wind Speed (m/s),Windmill
C,1,4.0675,5.457083333,a126
C,1,3.438270833,5.472708333,a128
C,1,6.239041667,5.51,a130
C,1,4.4435625,5.55375,a132
C,1,5.0769375,5.692986111,a134
C,1,4.3385625,5.735277778,a136
C,1,3.129145833,5.78625,a138
C,1,5.329645833,5.971944444,a140
C,1,8.889916667,6.074444444,a142
C,1,4.895979167,6.122222222,a144
C,1,4.380854167,6.175972222,a146
C,1,6.04625,6.297291667,a148
C,1,6.38575,6.364305556,a150
C,1,4.465145833,6.384027778,a152
C,1,6.0075,6.473680556,a154
C,1,7.378583333,6.479513889,a156
C,1,5.5665,6.506180556,a158
C,1,10.055375,6.60375,a160
C,1,6.5358125,6.619166667,a162
C,1,6.9926875,6.62375,a164
C,1,7.635958333,6.667361111,a166
C,1,7.01675,6.688611111,a168
C,1,6.851916667,6.730625,a170
C,1,6.895125,6.783402778,a172
C,1,6.103541667,6.826527778,a174
C,1,8.6853125,6.950555556,a176
C,1,7.078520833,6.986944444,a178
C,1,7.1881875,7.021041667,a180
C,1,5.943333333,7.047013889,a182
C,1,10.58289583,7.083125,a184
C,1,8.0631875,7.171805556,a186
C,1,8.755354167,7.271041667,a188
C,1,8.8085625,7.335902778,a190
C,1,10.23289583,7.460486111,a192
C,1,9.394604167,7.552222222,a194
C,1,12.55352083,7.571805556,a196
C,1,11.0836875,7.709444444,a198
C,1,11.15616667,7.806111111,a200
C,1,10.775,7.825347222,a202
C,1,9.138645833,7.852847222,a204
C,1,10.34566667,7.947847222,a206
C,1,10.48095833,7.9975,a208
C,1,9.572666667,8.106875,a210
C,1,12.500375,8.148541667,a212
C,1,11.2550625,8.214027778,a214
C,1,10.90625,8.227152778,a216
C,1,9.8943125,8.283680556,a218
C,1,11.5561875,8.308125,a220
C,1,12.5738125,8.331388889,a222
C,1,11.43447917,8.439722222,a224
C,1,11.995875,8.443194444,a226
C,1,13.97875,8.473888889,a228
C,1,12.5773125,8.563611111,a230
